scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2025-06-13 05:40:54 UTC,2019-05-04 14:00:00 UTC,West Ham,Southampton,Premier League 2018/2019,3,0,"1:0, 2:0",London Stadium,London,England,"[{'1': '2.25', 'X': '3.40', '2': '2.95', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.32', 'X': '3.55', '2': '3.05', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.27', 'X': '3.48', '2': '3.01', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.40', 'X': '3.69', '2': '3.00', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:40:58 UTC,2019-01-12 17:30:00 UTC,Chelsea,Newcastle,Premier League 2018/2019,2,1,"1:1, 1:0",Stamford Bridge,London,England,"[{'1': '1.20', 'X': '6.75', '2': '17.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.20', 'X': '6.75', '2': '16.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.19', 'X': '6.39', '2': '15.72', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.20', 'X': '6.80', '2': '19.30', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:40:58 UTC,2018-09-22 14:00:00 UTC,Cardiff,Manchester City,Premier League 2018/2019,0,5,"0:3, 0:2",Cardiff City Stadium,Cardiff,Wales,"[{'1': '21.00', 'X': '8.75', '2': '1.14', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '23.00', 'X': '8.00', '2': '1.14', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '17.34', 'X': '7.75', '2': '1.15', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '21.63', 'X': '8.65', '2': '1.15', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:40:58 UTC,2018-08-19 15:00:00 UTC,Brighton,Manchester Utd,Premier League 2018/2019,3,2,"3:1, 0:1",Amex Stadium,Brighton,England,"[{'1': '5.85', 'X': '3.55', '2': '1.69', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '5.80', 'X': '3.60', '2': '1.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.38', 'X': '3.55', '2': '1.69', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '5.90', 'X': '3.70', '2': '1.71', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:02 UTC,2019-02-23 15:00:00 UTC,Bournemouth,Wolves,Premier League 2018/2019,1,1,"1:0, 0:1",Vitality Stadium,Bournemouth,England,"[{'1': '3.00', 'X': '3.10', '2': '2.35', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '3.15', 'X': '3.25', '2': '2.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.05', 'X': '3.21', '2': '2.38', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '3.20', 'X': '3.29', '2': '2.46', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:03 UTC,2018-12-08 15:00:00 UTC,Burnley,Brighton,Premier League 2018/2019,1,0,"1:0, 0:0",Turf Moor,Burnley,England,"[{'1': '2.90', 'X': '3.05', '2': '2.70', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.88', 'X': '3.05', '2': '2.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.83', 'X': '3.00', '2': '2.68', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.98', 'X': '3.11', '2': '2.77', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:03 UTC,2019-03-30 15:00:00 UTC,Leicester,Bournemouth,Premier League 2018/2019,2,0,"1:0, 1:0",King Power Stadium,Leicester,England,"[{'1': '1.77', 'X': '3.70', '2': '4.20', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.77', 'X': '3.90', '2': '4.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.84', '2': '4.21', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.83', 'X': '3.93', '2': '4.45', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:08 UTC,2019-02-26 19:45:00 UTC,Leicester,Brighton,Premier League 2018/2019,2,1,"1:0, 1:1",King Power Stadium,Leicester,England,"[{'1': '1.77', 'X': '3.30', '2': '4.75', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.45', '2': '5.10', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.81', 'X': '3.41', '2': '4.65', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.82', 'X': '3.52', '2': '5.25', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:08 UTC,2018-09-29 14:00:00 UTC,Manchester City,Brighton,Premier League 2018/2019,2,0,"1:0, 1:0",Etihad Stadium,Manchester,England,"[{'1': '1.08', 'X': '12.00', '2': '27.00', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.08', 'X': '12.00', '2': '29.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.09', 'X': '10.07', '2': '23.55', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.10', 'X': '11.74', '2': '28.42', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:08 UTC,2019-04-13 14:00:00 UTC,Fulham,Everton,Premier League 2018/2019,2,0,"0:0, 2:0",Craven Cottage,London,England,"[{'1': '4.65', 'X': '3.95', '2': '1.65', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '5.00', 'X': '4.00', '2': '1.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.71', 'X': '4.02', '2': '1.67', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '4.88', 'X': '4.20', '2': '1.72', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
